user,sku,category,query,click_time,query_time
0001cd0d10bbc585c9ba287c963e00873d4c0bfd,2032076,abcat0701002,gears of war,22:56.1,21:42.9
00033dbced6acd3626c4b56ff5c55b8d69911681,9854804,abcat0701002,Gears of war,35:42.2,35:33.2
00033dbced6acd3626c4b56ff5c55b8d69911681,2670133,abcat0701002,Gears of war,36:08.7,35:33.2
00033dbced6acd3626c4b56ff5c55b8d69911681,9984142,abcat0701002,Assassin creed,37:23.7,37:00.0
0007756f015345450f7be1df33695421466b7ce4,2541184,abcat0701002,dead island,15:34.3,15:26.2
000878e35cb70ace315dbdbef54c22477066f07e,3046066,abcat0701002,Rocksmith,44:36.8,44:22.9
0008b7e06bc3d329b4dc052268e10b98c9121452,2977637,abcat0701002,Nba n2k,10:06.5,09:33.5
0008f35cccf771838c635196205951403f13da50,2670133,abcat0701002,Call of duty,05:40.9,05:06.4
000c22a204a9248e3e5458ed52a084b98ddfcf56,9328943,abcat0701002,rock band,02:54.2,02:44.2
000f573f22d30ead7a0a3d7fce64d3eb1cb8d0be,1180104,abcat0701002,xbox,39:51.7,36:40.2
000f573f22d30ead7a0a3d7fce64d3eb1cb8d0be,2598445,abcat0701002,xbox,41:16.2,36:40.2
001030de8986025507e5e95633b60c408861c5f6,1563461,abcat0701002,Crysis 2,47:23.6,46:56.0
0010a136a422578130886603598d52f326a8927b,9854804,abcat0701002,Gears of war 3,54:06.4,53:31.5
00115ab3fbd15ca198f6e7372c16297fc47d9bdb,1012721,abcat0701002,Sims,07:58.0,07:39.3
0012d70d39a5e1bd0fc6e1cc7916305b130370dd,2173065,abcat0701002,batman arkham city,52:23.0,51:55.4
00144047a7ad09ec3438e8785cbe4c73e9802a41,1228939,abcat0701002,rage,29:37.8,29:22.3
00147ac6f72659ba2dc188542e29049d7a4a31ee,2541184,abcat0701002,Deda island,03:57.5,03:38.5
0014a97381f54354971eb3008627dac06909e098,2173065,abcat0701002,batman arkham city,35:14.5,35:02.7
00181425578d2f4b3047aef3a26da95304a56f78,2375195,abcat0701002,Madden 12,16:19.2,15:17.6
001a2eca28e86fd09424f35c760e4980a3e8e8bf,2480232,abcat0701002,Alice madness returns,47:43.3,47:32.7
001b8897d4b1af6126e66308c04f81a35de4d460,2670133,abcat0701002,modern warfare 3,22:00.9,21:45.3
001c6c910c039e1ab30b8557bd8133c968c5d1ec,2670133,abcat0701002,Call of duty,49:09.3,48:25.6
001c81c4ffc53b0389e0b3ba3a5ff403f432b74f,2467183,abcat0701002,Tv,38:26.5,33:59.5
001d856329a212eb052e1597663150a2421a3c02,9854804,abcat0701002,Gears of war 3,48:58.8,48:52.1
001f243549bdfe113ff4ec78d247353766e112ac,1814093,abcat0701002,Shift 2,28:19.5,27:59.8
0020866ff42c89dba8b582c9cbda7c2e715fd062,2480232,abcat0701002,Alice,33:17.3,33:03.4
002221331b3e49208694e2e71e1da20e1ece3a43,2807036,abcat0701002,NHL 12,06:35.0,06:22.2
002515871bc571294e1104ed8009a93a1f2e1e5e,2095189,abcat0701002,Diablo 3,47:58.3,46:02.7
0029ba8545968efdbc792c86d0c57a45e582523a,2945052,abcat0701002,Modern warfare,41:27.1,40:42.8
002b3ce342a43457c4d07630e70a9ad84764dc10,9487067,abcat0701002,Borderlands,19:35.4,19:10.6
002d17cc46c204929411e94a634930a17bd1c670,2173065,abcat0701002,batman arkham city,59:58.4,59:13.9
0030b51e85341499f00456e0706f9a5fec8d1d1e,9854804,abcat0701002,Gears of war 3,25:51.2,25:04.1
003130cbaa66dd14d9c6bf644978ed43b2137ec4,9955514,abcat0701002,star wars the old republic,48:08.2,47:36.1
0031dfe8badd9b26c0e823caae3945dd701541c9,2945052,abcat0701002,kinect games,55:07.4,52:55.6
00366ac15d4a4ebc802cae79853135486dbf01b6,2833031,abcat0701002,Xbox,41:36.5,40:07.3
00398cd65686c156f25f5e474c61771ca6c05ce7,2670133,abcat0701002,call of duty,38:29.5,37:40.1
00398cd65686c156f25f5e474c61771ca6c05ce7,9902347,abcat0701002,call of duty,13:24.4,13:04.5
0039cf709a3ed2f367fb868802da9c555b2af24e,2375195,abcat0701002,Madden,29:39.5,29:30.3
003ee65aa3bb98d9fd8a3af5c0d574546eb35c78,2633149,abcat0701002,rocksmith,04:00.9,02:50.5
004070311172f0fa3974a88133b5769135ac2938,9854804,abcat0701002,Gears of war,25:50.7,25:34.9
00419392d3177c99751e8a296e32203dfe3d4533,2375195,abcat0701002,Xbox madden 12,46:13.3,45:49.0
00434c61aa6750cf9099bc6b879d2728793523b2,3001046,abcat0701002,Saints row,45:59.8,45:39.4
0043d0ecd7eada5f528246003b7085f428051163,2945052,abcat0701002,Gift card PlayStation,21:18.8,20:15.1
00457afc8a17eac9f3e010ad5bbfb7e3e40d6be8,1776209,abcat0701002,You don know jack,33:10.8,32:34.4
00476617b4bbb0b026e43555a0d6a60a3c44864c,3046066,abcat0701002,Rocksmith,06:40.9,06:07.5
00476617b4bbb0b026e43555a0d6a60a3c44864c,2633103,abcat0701002,Rocksmith,07:28.6,06:07.5
004925d7a4c3e7e68c5020b0d3fa0171886f547d,9254111,abcat0701002,Halo: odst,53:29.1,53:22.1
004925d7a4c3e7e68c5020b0d3fa0171886f547d,9374134,abcat0701002,Red dead redemption,54:15.4,53:58.6
004a9958811159e11b133bb9ca7447446bb1f88b,2375195,abcat0701002,madden nfl,51:24.2,50:12.2
004bf68a089f89e41c53f3d20e38678ff8c9da84,9854804,abcat0701002,gears of war 3,57:34.9,57:27.2
005138c49363449643abd7691decd3f0e8df18b6,2375195,abcat0701002,Madden 2012,30:05.8,29:52.6
005256316bb1501f6535c46d8fc63d213ab8c104,2704058,abcat0701002,Fifa 12,55:22.9,54:56.2
0053bd54b88235e7dba25a77425f28ce3a0a36dc,1251132,abcat0701002,Deus Ex,00:20.5,00:04.3
0054933b453f417dd064c2526491d2a686da187f,2541184,abcat0701002,Dead island,01:10.1,01:03.1
0057163a2b58090072552be2105147c1870472b7,2945052,abcat0701002,Call of duty Modern warfare 3,33:51.3,33:14.0
00573e443ef8ec10b5a1f23ac8964c43c415cedf,2613542,abcat0701002,Assassins creed,03:01.3,02:26.3
00573e443ef8ec10b5a1f23ac8964c43c415cedf,9984142,abcat0701002,Assassins creed,03:35.5,02:26.3
0057fe827f95fbc5c7c2e6ab94caa831f96ad9c4,9854804,abcat0701002,grars of war,14:23.3,14:05.3
0058b847d72e1169c709adf999d5411ff00ded83,8814811,abcat0701002,saints row 2,31:27.3,30:23.5
005a8d30ad1b6b86236e01f97c77517969493f97,2842639,abcat0701002,Rise of nightmares,15:14.5,15:05.4
005ab8d25f2f5d07f7eb685a008300a5b1d4f57b,2670133,abcat0701002,Modern,39:04.0,38:54.9
005ac3fa19c7b5b261ea259575b8bdb409a88449,2107458,abcat0701002,Battlefield 3,12:04.5,11:47.7
005cc17aaf3f7463def36ae6ae3696530a6cb417,2670133,abcat0701002,mw3,18:52.4,18:39.0
0060acd455ad6f9fb376f4f64554523bd9f683b0,2107458,abcat0701002,Battlefield 3,59:27.6,59:19.1
0062ae97ccb59c2aa64353452d895926cacddb14,2467183,abcat0701002,gears of war 3,17:28.3,16:08.4
0065b5a44f9ffa4487cfc7083dba334e89865175,2467129,abcat0701002,Gears of war 3,14:55.1,12:42.0
0066e434b9ee1e2ee4c5ce283e009755d5419555,2633103,abcat0701002,Rocksmith,39:31.3,39:27.0
00684b5b1b01a7310dd1521f1c0609080c275f1f,8814811,abcat0701002,Saints row 2,06:43.4,06:11.0
0068bacbad7f9553daee841c100db759b8e8bde0,2173065,abcat0701002,Batman,24:57.1,24:06.8
00695473c25fba02e72d9183599aee2b9a703c41,2173065,abcat0701002,Batman,35:39.2,35:27.7
006abb88c49d6b2d54bdabac4f893a14c8e3029b,2704058,abcat0701002,fifa 12,00:42.3,00:26.8
006c925fe27abe1df03a48ae1270f7e371f4ab5e,2467183,abcat0701002,gears of war 3,48:01.2,47:17.8
006d5f5cd761617f2198d95c0a18fc5965d9faf6,2330703,abcat0701002,OnlineMidnightSale_HomeTheater_20110825,35:50.2,31:25.3
006d7816115df96b78995c5a800e96161f63fef2,2842639,abcat0701002,Rise of nightmares,08:25.2,08:13.7
006ec7b2bb66ea66baf9e3e013b443bddbb5ac38,9854804,abcat0701002,gears of war 3,06:38.7,06:33.7
006fd734455774a4dafdc5b45e67684637c20464,2670133,abcat0701002,Xbox console,45:54.0,44:01.6
0070aa696a0706c8a7b3ccc86f25744aaf5a2348,2541184,abcat0701002,Dead island,44:54.6,44:34.9
00742c75cd765fef26aab77e6aed3c2c3ea66bd4,2330703,abcat0701002,saints row the third,47:17.4,46:30.3
00742c75cd765fef26aab77e6aed3c2c3ea66bd4,2095189,abcat0701002,saints row the third,47:49.4,46:30.3
00751bbc272b6334bd76ca8405d26b0a3edd7b52,2967045,abcat0701002,the darkness,21:20.5,21:13.6
0075de79ad7effc552598bc62954c710de29545d,2953607,abcat0701002,forza,22:36.0,22:27.0
0075dfcce62576fec4aedee25585bd15c24b7e4a,2467129,abcat0701002,Gears of war 3,26:08.6,25:26.9
007853cc8c492670a916fc81d1fbceba28d6fcd6,2173065,abcat0701002,Batman,53:30.2,53:07.6
007cf2e103e57614efaecacbc5e88b8fbe8844d1,2945052,abcat0701002,Call to duty,58:12.8,57:46.0
007d3d54c085eed1d31d497838a1a5a74415d36f,2807036,abcat0701002,NHL 12,39:34.8,38:56.3
0082accf988e860c9647e9deb024cf022fe5cace,2467129,abcat0701002,Gears of war 3,55:41.0,55:15.6
00835b02c8ed6e85348491471acc09119bb156d2,3052094,abcat0701002,Family game show,43:22.3,41:52.3
00835b02c8ed6e85348491471acc09119bb156d2,2633103,abcat0701002,Family game show,46:35.0,41:52.3
00835b02c8ed6e85348491471acc09119bb156d2,3617087,abcat0701002,Kinect,02:47.2,58:09.8
008475459f601919255c15f667c0e47a3e008c46,2173065,abcat0701002,Batman,26:56.5,22:50.4
0089c6a266c79ee878fee359bf68f8682b7576bc,2173065,abcat0701002,Arkam city,59:43.4,59:10.1
0089c6a266c79ee878fee359bf68f8682b7576bc,3046603,abcat0701002,Arkam city,00:00.8,59:10.1
008a23120968c5f81b11c56761a0e52964bc7f1f,2173065,abcat0701002,Arkham city,06:51.8,06:10.1
008b93ccf93779f5c42ec9252accc8e9f3f34d78,8760398,abcat0701002,Gears of War 2,28:18.7,28:12.7
008b93ccf93779f5c42ec9252accc8e9f3f34d78,9713872,abcat0701002,Halo Reach,50:28.3,50:22.8
008cd1f1e9b1590eb272b48dd3291ce04634a9ec,2633103,abcat0701002,Dance central,14:01.1,10:53.9
008ee7f3d561acdf680c513bd30880e24ef58cb7,9854804,abcat0701002,20110801_GOW3,15:19.8,12:40.0
009296718b92c9e96b59ed98d07a4a03f8b1bb8d,3455398,abcat0701002,xbox 360 elite,37:39.5,37:13.6
0094fac3a9f83afbffe31499511abd06d3e874f3,2945052,abcat0701002,Mw3 hardened,02:28.8,02:14.4
00987382d9aea15d5f68bc1f0f2c48f4aa779e51,3559384,abcat0701002,sims 3 pets,57:01.7,55:04.4
00989e3926d8df07614f3d3082d789d5ede9cc2f,2670133,abcat0701002,Modern warfare 3,06:33.3,05:07.5
00989e3926d8df07614f3d3082d789d5ede9cc2f,2856517,abcat0701002,Halo,45:54.5,45:28.1
0098c1f1702d3bdbb6f2ccd65855980260f3ca39,9461183,abcat0701002,final fantasy,25:40.6,25:19.8
009b28e9d7e4eeb034c86cd7f50ad29bdd6438d7,9854804,abcat0701002,Gears 3,40:21.4,40:00.8
009b39ec53d7d6d9545139dad182ab3f3b7f7be9,2945052,abcat0701002,call of duty,11:48.0,10:01.8
